TE_LABEL,WAFER_ID,TYPE,X_UM,Y_UM,COD_ROLL_EVAL,POT_FAILMODE,MAX_PD,MEAN_PD,MIN_DELTA,CURRENT_AT_ROLLOVER,CURRENT_AT_SPD,DV_DI_AT_COD
106L6X,QCHWK,BL LASER,12834,-21482,ROLLOVER,ROLLOVER,45.709861,27.073105972,25.499562972,209.0,,
106M05,QCHWK,SILC,11807,-33599,ROLLOVER,ROLLOVER,47.845148,28.518169848000003,27.296128848,216.0,,
106M6V,QCHWK,BL LASER,11551,-21416,ROLLOVER,ROLLOVER,46.403008,27.646604672000002,26.015573672000002,209.0,,
106M6W,QCHWK,BL LASER,11807,-21449,ROLLOVER,ROLLOVER,46.353732,27.55221186,25.58281986,209.0,,
106M6X,QCHWK,BL LASER,12064,-21482,ROLLOVER,ROLLOVER,45.729571,27.390987796,25.817445796,209.0,,
106N6V,QCHWK,BL LASER,10781,-21416,ROLLOVER,ROLLOVER,45.951313,27.028192611999998,24.189902611999997,208.0,,
106N6W,QCHWK,BL LASER,11037,-21449,ROLLOVER,ROLLOVER,46.090928,27.057948680000003,24.492318679999997,209.0,,
106N6X,QCHWK,BL LASER,11294,-21482,ROLLOVER,ROLLOVER,45.974308,27.180914968,25.574521968000003,208.0,,
108C05,QCHWK,SILC,41067,-33599,ROLLOVER,ROLLOVER,48.909507,29.078883152,27.879838152,211.0,,
108D05,QCHWK,SILC,40297,-33599,ROLLOVER,ROLLOVER,48.630277,28.98414214,27.56992514,210.0,,
108E05,QCHWK,SILC,39527,-33599,ROLLOVER,ROLLOVER,48.518585,28.969103095999998,27.494112095999995,211.0,,
108H6V,QCHWK,BL LASER,36961,-21416,ROLLOVER,ROLLOVER,47.150359,27.260439628,25.417522628,208.0,,
108H6W,QCHWK,BL LASER,37217,-21449,ROLLOVER,ROLLOVER,47.199634,27.112119284000002,24.692674284000006,207.0,,
108H6X,QCHWK,BL LASER,37474,-21482,ROLLOVER,ROLLOVER,46.798857,27.215263488,25.145677488000008,208.0,,
108I6V,QCHWK,BL LASER,36191,-21416,ROLLOVER,ROLLOVER,47.634905,27.291108939999997,25.20345494,208.0,,
108I6W,QCHWK,BL LASER,36447,-21449,ROLLOVER,ROLLOVER,47.335964,27.347979816,25.399940815999997,207.0,,
108I6X,QCHWK,BL LASER,36704,-21482,ROLLOVER,ROLLOVER,47.579059,27.369510092,25.406688092000003,208.0,,
108J05,QCHWK,SILC,35677,-33599,ROLLOVER,ROLLOVER,49.026126,29.233267704000003,27.966877704,211.0,,
108J6V,QCHWK,BL LASER,35421,-21416,ROLLOVER,ROLLOVER,47.726886,27.456321036000002,25.716883036000002,208.0,,
108J6W,QCHWK,BL LASER,35677,-21449,ROLLOVER,ROLLOVER,47.245625,27.334419096,25.389665096,208.0,,
108J6X,QCHWK,BL LASER,35934,-21482,ROLLOVER,ROLLOVER,47.354032,27.282232651999998,25.665984652,207.0,,
108K05,QCHWK,SILC,34907,-33599,ROLLOVER,ROLLOVER,49.274148,29.368704064000003,28.048111064,211.0,,
108K6V,QCHWK,BL LASER,34651,-21416,ROLLOVER,ROLLOVER,47.697321,27.20021136,25.36057936,207.0,,
108K6W,QCHWK,BL LASER,34907,-21449,ROLLOVER,ROLLOVER,47.708818,27.19153224,24.796726239999998,207.0,,
108K6X,QCHWK,BL LASER,35164,-21482,ROLLOVER,ROLLOVER,47.207847,26.552036708,20.811398707999995,207.0,,
108L05,QCHWK,SILC,34137,-33599,ROLLOVER,ROLLOVER,49.477822,29.33661564,27.37050864,211.0,,
108L6V,QCHWK,BL LASER,33881,-21416,ROLLOVER,ROLLOVER,47.373743,27.117158572,25.164191572000004,207.0,,
108L6W,QCHWK,BL LASER,34137,-21449,ROLLOVER,ROLLOVER,47.462439,27.21027678,25.26880778,208.0,,
108L6X,QCHWK,BL LASER,34394,-21482,ROLLOVER,ROLLOVER,47.473937,27.153583288,25.258105287999996,207.0,,
108M05,QCHWK,SILC,33367,-33599,ROLLOVER,ROLLOVER,49.410478,29.185989183999997,27.178819183999998,212.0,,
108M6V,QCHWK,BL LASER,33111,-21416,ROLLOVER,ROLLOVER,47.78766,27.281207751999997,25.500706751999996,208.0,,
108M6W,QCHWK,BL LASER,33367,-21449,ROLLOVER,ROLLOVER,47.646402,27.154700207999998,25.274005208,208.0,,
108M6X,QCHWK,BL LASER,33624,-21482,ROLLOVER,ROLLOVER,47.48872,27.318755944,25.722217943999997,208.0,,
108N6V,QCHWK,BL LASER,32341,-21416,ROLLOVER,ROLLOVER,47.958483,26.913136792,24.625093791999998,208.0,,
108N6W,QCHWK,BL LASER,32597,-21449,ROLLOVER,ROLLOVER,47.810655,27.450651004,25.359712004,208.0,,
108N6X,QCHWK,BL LASER,32854,-21482,ROLLOVER,ROLLOVER,47.536353,27.14459536,24.68901436,208.0,,
110C05,QCHWK,SILC,62627,-33599,ROLLOVER,ROLLOVER,50.757352,30.311955724,28.480535724,203.0,,
110D05,QCHWK,SILC,61857,-33599,ROLLOVER,ROLLOVER,49.913092,30.222155464,28.407161463999994,205.0,,
110E05,QCHWK,SILC,61087,-33599,ROLLOVER,ROLLOVER,49.451541,30.068565828,28.110671828000005,206.0,,
110H6V,QCHWK,BL LASER,58521,-21416,ROLLOVER,ROLLOVER,47.95684,27.588248936,25.047256935999997,209.0,,
110H6W,QCHWK,BL LASER,58777,-21449,ROLLOVER,ROLLOVER,48.157229,27.956076799999998,25.298464799999998,208.0,,
110H6X,QCHWK,BL LASER,59034,-21482,ROLLOVER,ROLLOVER,47.909207,27.453495852,25.451252852,208.0,,
110I6V,QCHWK,BL LASER,57751,-21416,ROLLOVER,ROLLOVER,47.386883,27.293106243999997,24.955788243999997,210.0,,
110I6W,QCHWK,BL LASER,58007,-21449,ROLLOVER,ROLLOVER,47.339249,27.380593863999998,25.058057864,209.0,,
110I6X,QCHWK,BL LASER,58264,-21482,ROLLOVER,ROLLOVER,47.786017,27.475433472,25.182463472,210.0,,
110J05,QCHWK,SILC,57237,-33599,ROLLOVER,ROLLOVER,49.375985,29.419931248,27.787258248000004,204.0,,
110J6V,QCHWK,BL LASER,56981,-21416,ROLLOVER,ROLLOVER,47.035382,27.332119579999997,25.347945579999994,210.0,,
110J6W,QCHWK,BL LASER,57237,-21449,ROLLOVER,ROLLOVER,47.2292,27.512554648000002,25.436398648,210.0,,
110J6X,QCHWK,BL LASER,57494,-21482,ROLLOVER,ROLLOVER,47.363887,27.399009908,24.922076908,210.0,,
110K05,QCHWK,SILC,56467,-33599,ROLLOVER,ROLLOVER,48.54158,29.268726624,27.629483624,206.0,,
110K6V,QCHWK,BL LASER,56211,-21416,ROLLOVER,ROLLOVER,46.38494,27.393517296,24.831172296,209.0,,
110K6W,QCHWK,BL LASER,56467,-21449,ROLLOVER,ROLLOVER,46.549193,27.416427264000003,25.228578264000003,209.0,,
110K6X,QCHWK,BL LASER,56724,-21482,ROLLOVER,ROLLOVER,46.245325,26.817975188000002,24.405100188000002,210.0,,
110L05,QCHWK,SILC,55697,-33599,ROLLOVER,ROLLOVER,48.720616,29.323481956,27.945399956,207.0,,
110L6V,QCHWK,BL LASER,55441,-21416,ROLLOVER,ROLLOVER,45.836336,27.215151807999998,24.958316808,208.0,,
110L6W,QCHWK,BL LASER,55697,-21449,ROLLOVER,ROLLOVER,46.104068,27.182728288,24.889758288000003,209.0,,
110L6X,QCHWK,BL LASER,55954,-21482,ROLLOVER,ROLLOVER,46.258466,27.319314419999998,24.282279419999995,209.0,,
110M05,QCHWK,SILC,54927,-33599,ROLLOVER,ROLLOVER,48.746897,29.319033992,28.100277992000002,208.0,,
110M6V,QCHWK,BL LASER,54671,-21416,ROLLOVER,ROLLOVER,46.043294,27.4382729,25.1091669,195.0,,
