Wafer Code,COD Percentage
QCHWK,0.4658385093167702
QCHWQ,10.822510822510822
QCHXD,0.2329192546583851
QCHXG,0.15527950310559005
QCHXL,0.3105590062111801
QCHXM,1.2422360248447204
QCHXV,0.5434782608695652
QCHXW,0.15527950310559005
QCHXX,3.9596273291925463
QCHY1,0.4658385093167702
QCHY2,0.15527950310559005
QCHY6,0.38819875776397517
QCHY7,0.38819875776397517
QCHY8,1.9409937888198756
QCHYH,0.2329192546583851
QCHYK,0.2329192546583851
QCHYR,0.38819875776397517
QCHYS,0.2329192546583851
QCHYT,0.8540372670807453
QCHZ1,0.4658385093167702
QCHZ5,9.394409937888199
QCHZ6,0.2329192546583851
QCHZ8,0.6211180124223602
QCHZH,0.15527950310559005
