Wafer_Code,MEAS_TIME,MACH,COD_Percentage,ROLLOVER_Count,COD_Count,NO_LASER_Count,COBD_Percentage,COMD_Percentage,BL LASER COD Percentage,BL LASER ROLLOVER Count,BL LASER COD Count,BL LASER NO LASER Count,BL LASER COBD Percentage,BL LASER COMD Percentage,SILC COD Percentage,SILC ROLLOVER Count,SILC COD Count,SILC NO LASER Count,SILC COBD Percentage,SILC COMD Percentage
QCHWM,20250318020941,LIV_53,8.773291925465838,1175,113,0,99.11504424778761,0.8849557522123894,11.283643892339544,857,109,0,100.0,0.0,1.2422360248447204,318,4,0,75.0,25.0
QCHWM,20250318020941,,7.348306351709661,,,,,,9.288408951329892,,,,,,0.032429786890226554,,,,,
QCHWM,20250318020941,,10.443463470456713,,,,,,13.278878833349195,,,,,,2.4520422627992144,,,,,
